"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2016-06-13","1465776000","2288"
"2016-06-14","1465862400","1125"
"2016-06-15","1465948800","439"
"2016-06-16","1466035200","2550"
"2016-06-17","1466121600","6888"
"2016-06-18","1466208000","10331"
"2016-06-19","1466294400","3050"
"2016-06-20","1466380800","3075"
"2016-06-21","1466467200","1678"
"2016-06-22","1466553600","2613"
"2016-06-23","1466640000","1469"
"2016-06-24","1466726400","1847"
"2016-06-25","1466812800","806"
"2016-06-26","1466899200","926"
"2016-06-27","1466985600","967"
"2016-06-28","1467072000","1141"
"2016-06-29","1467158400","1074"
"2016-06-30","1467244800","512"
"2016-07-01","1467331200","1325"
"2016-07-02","1467417600","510"
"2016-07-03","1467504000","1186"
"2016-07-04","1467590400","738"
"2016-07-05","1467676800","1257"
"2016-07-06","1467763200","849"
"2016-07-07","1467849600","783"
"2016-07-08","1467936000","941"
"2016-07-09","1468022400","1955"
"2016-07-10","1468108800","1061"
"2016-07-11","1468195200","432"
"2016-07-12","1468281600","1413"
"2016-07-13","1468368000","754"
"2016-07-14","1468454400","976"
"2016-07-15","1468540800","1352"
"2016-07-16","1468627200","628"
"2016-07-17","1468713600","285"
"2016-07-18","1468800000","433"
"2016-07-19","1468886400","859"
"2016-07-20","1468972800","2793"
"2016-07-21","1469059200","881"
"2016-07-22","1469145600","1478"
"2016-07-23","1469232000","1043"
"2016-07-24","1469318400","239"
"2016-07-25","1469404800","818"
"2016-07-26","1469491200","802"
"2016-07-27","1469577600","1600"
"2016-07-28","1469664000","601"
"2016-07-29","1469750400","431"
"2016-07-30","1469836800","231"
"2016-07-31","1469923200","203"
"2016-08-01","1470009600","285"
"2016-08-02","1470096000","333"
"2016-08-03","1470182400","337"
"2016-08-04","1470268800","293"
"2016-08-05","1470355200","269"
"2016-08-06","1470441600","151"
"2016-08-07","1470528000","196"
"2016-08-08","1470614400","578"
"2016-08-09","1470700800","456"
"2016-08-10","1470787200","730"
"2016-08-11","1470873600","384"
"2016-08-12","1470960000","482"
"2016-08-13","1471046400","265"
"2016-08-14","1471132800","79"
"2016-08-15","1471219200","127"
"2016-08-16","1471305600","162"
"2016-08-17","1471392000","200"
"2016-08-18","1471478400","179"
"2016-08-19","1471564800","116"
"2016-08-20","1471651200","126"
